,Item_ID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,Price
0,Item_0,6.59577997090471,2.29007456114365,7.35670016548681,9.24238676915424,2.10684037135362,5.11131145518408,5.42130501473676,7.16188315008599,853
1,Item_1,6.16589919684617,3.1281779334779,7.36076559726485,1.16126400971114,9.12925481818837,4.7024105108686,2.21710184501226,7.76714810781159,1521
2,Item_2,1.57975431239447,8.20982574833931,6.96235528984666,9.08892347926329,7.22818929222876,1.89671357167228,7.02855522159325,6.95196373994033,1888
3,Item_3,5.11274453236064,8.03847100001701,5.68961959235682,7.61629081932469,3.15810046044736,1.50091741885877,3.06466753442149,3.57394581751366,1402
4,Item_4,7.34196486953018,3.1557784399,7.47886329130374,2.28642851114202,7.43388480342254,4.07884950994606,6.44451499439971,2.37777726318049,1656
5,Item_5,1.64218443660165,8.36908616328773,9.42921048294641,5.35709023660191,7.71135934795835,6.99324120545383,1.1087816447442,3.01666847394961,1799
6,Item_6,4.66702465741755,2.90408437987315,2.73041022469334,8.26672160831085,1.65984970172828,8.31842928353783,4.54326443820872,5.73245352158115,1505
7,Item_7,8.88458788890134,9.41054406035669,3.35263076025887,4.96636153139819,4.48183110733806,1.64294577068505,8.57048939740597,2.56979675822487,924
8,Item_8,9.15595400655662,4.49044405656653,8.24250168866945,8.89404364597001,6.81869630279503,2.8512383159699,5.35964037652355,5.01497667569863,1177
9,Item_9,7.66485530547556,5.30431963016088,5.26804882506003,1.12640466746641,3.62212811835898,8.01064040918785,1.76901372533943,1.46173844040051,1489
10,Item_10,9.9322941406447,6.34560365268411,3.37311411093595,4.02259350721947,9.22433047058345,6.25410372443764,1.29477317466366,1.93453257901021,1095
11,Item_11,3.12238777294029,1.8146720589614,5.79173317748673,4.64455972559547,6.46692135510993,3.68886619281552,6.24329742964273,7.84749426088363,1777
12,Item_12,6.88309630554618,1.00551114198909,5.9461075852031,3.65491903666314,3.26675805207292,1.23380935104227,6.88347541851028,7.96181511475516,1015
13,Item_13,9.95969479735447,9.30224275666565,3.99408748839603,7.87132172223635,8.60770660156503,8.84106791314512,6.07748989359518,2.26437276533672,1872
14,Item_14,3.42599121110577,9.64187103545133,8.3147883174046,7.78124590521827,3.44719414113635,4.72092214425339,5.51818208698188,2.16154092530563,1926
15,Item_15,4.17172454268579,9.00290399161291,3.46267399520564,8.39232012163587,9.91865139848399,1.17769571714538,8.32207218228157,2.05462721745774,1027
16,Item_16,5.09060447685539,4.17632072642077,6.57117866411209,3.87408261080972,8.18514493428334,4.09518017343666,4.3250218899386,7.84526617889518,1762
17,Item_17,6.28901101075999,2.45556784529036,3.87777980010214,4.23790596395599,6.88867622037438,1.11099434952648,6.44226993250336,9.19121559990109,1892
18,Item_18,2.10366781918719,9.41711898476185,3.03607996567617,6.54923284181294,2.66420888378889,1.24698305629371,4.47786600913826,2.60256573510845,1380
19,Item_19,8.02373997930791,6.44420807440423,8.8866657899531,5.55202780059274,2.30946458154854,5.33391807915931,3.09792372756402,1.94341277840311,1535
20,Item_20,4.7028045253863,9.19082382385457,5.64174226400146,4.50097460798811,1.792447958746,9.73032772449987,3.90738329031527,3.93324143149464,1752
21,Item_21,4.64068071137808,7.99379928386169,8.07282244127277,1.82859725855469,5.798559146526,9.75377782412421,1.40743752931225,5.26725360303014,1685
22,Item_22,4.47811657394565,4.11398408865845,8.66651856362668,8.51246424204936,4.4705631028517,1.19304389203542,3.17203528165517,7.75137653266326,1047
23,Item_23,3.15281977956704,8.9419934637414,3.00067451126761,9.28636205363629,9.20547118722761,1.81856284733969,9.74029311324386,9.1894611743339,1265
24,Item_24,1.61239719780413,2.64504217415201,2.42199169782377,2.90005673872261,7.32243657122398,3.79379661678805,8.32673843991347,5.04070474196709,1700
25,Item_25,7.56429944278698,6.3018306350023,3.2660088973681,5.31545811095692,2.13166920924838,4.82840307095332,3.92401450536386,5.43488737925803,1594
26,Item_26,1.07597406522796,6.14838211802937,3.05181027409541,4.47589536228854,2.89026984676108,7.55546244254378,1.64989782471128,2.63563473686098,1857
27,Item_27,9.54016569607439,3.29251218312745,1.23311293652806,8.09073456829089,8.51604882105275,8.48676007365508,1.45988579828836,8.9764888076739,1943
28,Item_28,6.43472977615237,6.00413464713308,2.82859717795442,5.94573724678276,3.88268036712261,1.69151617009141,6.9874414439324,5.34340237445636,1253
29,Item_29,1.86637315736641,9.32145947319465,3.8688851067979,9.30287937758384,3.71751875652105,7.87068612976269,3.58663636087069,7.92053455694862,1311
30,Item_30,4.50883081868959,5.83428330294178,6.62319656951736,7.93067771368966,3.65275085291112,6.09293621226593,5.67118216981283,9.59220498298641,1408
31,Item_31,1.51899892900389,4.23752685384532,5.36963630898697,1.1064052457613,4.02503912696561,5.10721582205741,3.35910234711744,2.13307346247436,1783
32,Item_32,9.95888600001964,5.37400489351851,4.48539560644144,9.27647710647872,3.7027500043912,1.45551561323846,1.87275289642143,3.91279301242183,1019
33,Item_33,5.2753921254581,7.93541228381682,4.28813618145304,5.26216851289037,5.19089512184372,5.15640111418979,7.0244303060172,3.29145944243769,1133
34,Item_34,4.59511567518975,2.48987441982721,7.26691191396115,5.57830972393177,2.34902655438991,1.69913389441948,4.23700310522294,6.27109757771642,1748
35,Item_35,4.08204201874412,7.72344822536353,1.5057317018213,4.82828555052424,8.48214193924138,6.16467400651267,1.52360771151868,2.33010604826656,1071
36,Item_36,2.82767597621234,6.99616565562612,7.4909053909233,5.3410177158556,8.99468328766255,4.04516692176271,2.74365619275384,3.783733167135,1669
37,Item_37,7.58623164412683,1.16631721811039,5.11730612571191,3.05542547146759,7.5032781470028,1.72771241801375,9.2983481487023,3.78489940333163,1648
38,Item_38,6.05399751772527,1.32308725122783,1.24033920958689,6.08173577928266,8.33692165341483,4.96085709393224,6.74414110159344,2.99365170586894,1276
39,Item_39,6.12679622426365,9.76256248814456,3.21977615234902,8.51740845110459,8.33368068989046,2.29806139978883,7.15354409318523,3.63946131384981,1765
40,Item_40,9.87137521995939,7.82377999438592,6.4112890127883,1.21121980664799,7.99285749149843,5.59498660005516,3.18128298843269,7.76771532369319,908
41,Item_41,6.17494574800193,7.5109618186548,4.34023934955489,7.19732869425215,6.14366416738014,7.10443803309282,4.41473213260895,4.92160785500127,1596
