,User_ID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,Budget
0,User_0,3.19472375391745,5.48040384440408,8.7099398541901,9.78594412396163,9.76762503488625,8.69270776950991,8.83934806411283,7.03458643156743,208
1,User_1,9.52780871265229,5.02263395355715,1.45441458735048,1.8324062908369,2.66150198554531,2.63162514777393,7.70894678559658,7.38626315087549,147
2,User_2,5.7144572613475,7.83643044712156,9.55271927488854,9.91449059040852,1.60891616414364,4.72140023314316,7.19654379238487,2.23894088439741,286
3,User_3,5.35498769037902,4.93366899960262,5.66573478727463,8.05136422195687,2.92869064424416,4.03787692815548,6.93217834607052,7.90438945513262,58
4,User_4,1.13392256738483,6.22793057260471,9.75377564078648,7.59615167423019,9.43049013469144,1.29325119479565,1.93227170138136,3.7681192748138,170
5,User_5,6.91554289290229,7.98344999095642,7.78655368112006,9.6178877796761,9.85416020611675,4.12920909033624,6.37466477425526,2.02538468594636,227
6,User_6,7.13405909542223,4.16077518163052,7.69561316231431,9.29814599440121,1.90348538957502,8.5021527026837,2.51413284958662,4.7461977563277,163
7,User_7,1.63754131363337,4.91564065611054,7.55281295387962,4.48443483172623,8.38437897277462,6.71602500386223,9.30918697021465,4.35601790447197,165
8,User_8,1.62203344145007,1.76024050098713,4.11163237505891,2.05887748599613,8.75686753633365,8.60849912884087,2.64491073528611,8.68708338914809,111
9,User_9,7.4251690122797,7.14477522282651,8.60198347612071,1.45058791039088,7.05183888818134,5.2477368236681,9.08168337906008,6.80470588701916,190
10,User_10,2.21676968382416,6.89915316185069,7.68520537525897,4.39671464861638,2.51848139044035,5.19258778369807,5.81921481006415,8.18775097753385,103
11,User_11,8.66748187412576,8.6375451681466,2.34413784492193,2.43701753138771,6.12982515369407,1.67963558453352,6.71910762294565,3.72927067355505,88
12,User_12,7.37092795386498,2.69060794873559,2.32595518840946,8.79126420608231,2.1105389228337,9.98057837367639,8.94794697472785,2.00935401905001,250
13,User_13,9.12229641031699,6.33068754229747,3.74284608260393,5.21460424931806,2.73735538010183,9.13351932611385,9.07421118862657,4.54357921447676,171
14,User_14,6.37238514343473,8.853620386619,4.14587933077191,8.93661228433951,7.67093046724026,2.89210564097878,5.20844299353426,5.18141223835581,144
15,User_15,5.37055709657715,7.76329542780689,5.25580670820847,2.86171157192428,8.26144486278871,9.24731406977097,6.91517450857763,6.16364877268592,264
16,User_16,2.45613954059144,7.80617046315607,9.75077152010561,4.87411213689235,7.82659612677999,8.2553734233281,8.73297169262804,3.01930552954727,170
17,User_17,1.511823872963,4.53612878689836,7.89036316269554,5.61654607510061,3.81668570861763,1.9903420490187,5.89171512444918,1.3662239994851,271
18,User_18,2.23280734748458,4.33938922028118,8.57599254866416,2.99801339150764,3.44764680396783,5.0905205526254,7.15312273437251,2.23777190049484,140
19,User_19,6.70752858059618,8.70150370989854,7.79847323849126,9.03277895476277,3.46201118987042,2.26538865446944,5.9986664762077,7.12323866345798,135
20,User_20,4.38605847155838,8.60505449106335,6.32603908597245,5.54330202090892,9.6627834810368,9.79870003305072,7.02320096345172,2.62143527285228,299
